,CSV,N_Fold,N_Feat,Validation,Model,N_Class,Acc_Test,SD_Test
238,EEG_Q39S69N100,5,8,LOO,SVC,2,0.6470588235294118,0.492592183071889
239,EEG_Q39S69N100,5,8,LOO,SVC,3,0.0,0.0
240,EEG_Q39S69N100,5,8,80:20,RFC,2,0.6,0.27888667551135854
241,EEG_Q39S69N100,5,8,80:20,RFC,3,0.26666666666666666,0.14907119849998596
242,EEG_Q39S69N100,5,8,80:20,LOG,2,0.6,0.3651483716701107
243,EEG_Q39S69N100,5,8,80:20,LOG,3,0.06666666666666667,0.14907119849998599
244,EEG_Q39S69N100,5,8,80:20,SVC,2,0.6,0.3651483716701107
245,EEG_Q39S69N100,5,8,80:20,SVC,3,0.06666666666666667,0.14907119849998599
246,EEG_Q39S69N100,5,8,70:30,RFC,2,0.6,0.1414213562373095
247,EEG_Q39S69N100,5,8,70:30,RFC,3,0.24,0.260768096208106
248,EEG_Q39S69N100,5,8,70:30,LOG,2,0.6,0.24494897427831783
249,EEG_Q39S69N100,5,8,70:30,LOG,3,0.28,0.30331501776206204
250,EEG_Q39S69N100,5,8,70:30,SVC,2,0.64,0.260768096208106
251,EEG_Q39S69N100,5,8,70:30,SVC,3,0.12000000000000001,0.10954451150103323
252,EEG_Q39S69N100,5,10,LOO,RFC,2,0.5882352941176471,0.5072996561958923
253,EEG_Q39S69N100,5,10,LOO,RFC,3,0.29411764705882354,0.4696682183138621
254,EEG_Q39S69N100,5,10,LOO,LOG,2,0.6470588235294118,0.492592183071889
255,EEG_Q39S69N100,5,10,LOO,LOG,3,0.058823529411764705,0.24253562503633297
256,EEG_Q39S69N100,5,10,LOO,SVC,2,0.6470588235294118,0.492592183071889
257,EEG_Q39S69N100,5,10,LOO,SVC,3,0.0,0.0
258,EEG_Q39S69N100,5,10,80:20,RFC,2,0.5333333333333333,0.29814239699997197
259,EEG_Q39S69N100,5,10,80:20,RFC,3,0.26666666666666666,0.2788866755113585
260,EEG_Q39S69N100,5,10,80:20,LOG,2,0.6,0.3651483716701107
261,EEG_Q39S69N100,5,10,80:20,LOG,3,0.06666666666666667,0.14907119849998599
262,EEG_Q39S69N100,5,10,80:20,SVC,2,0.6,0.3651483716701107
263,EEG_Q39S69N100,5,10,80:20,SVC,3,0.06666666666666667,0.14907119849998599
264,EEG_Q39S69N100,5,10,70:30,RFC,2,0.64,0.16733200530681513
265,EEG_Q39S69N100,5,10,70:30,RFC,3,0.36,0.2607680962081059
266,EEG_Q39S69N100,5,10,70:30,LOG,2,0.56,0.16733200530681513
267,EEG_Q39S69N100,5,10,70:30,LOG,3,0.28,0.30331501776206204
268,EEG_Q39S69N100,5,10,70:30,SVC,2,0.64,0.260768096208106
269,EEG_Q39S69N100,5,10,70:30,SVC,3,0.12000000000000001,0.10954451150103323
270,EEG_Q39S69N100,10,2,LOO,RFC,2,0.5882352941176471,0.5072996561958923
271,EEG_Q39S69N100,10,2,LOO,RFC,3,0.35294117647058826,0.49259218307188896
272,EEG_Q39S69N100,10,2,LOO,LOG,2,0.6470588235294118,0.492592183071889
273,EEG_Q39S69N100,10,2,LOO,LOG,3,0.0,0.0
274,EEG_Q39S69N100,10,2,LOO,SVC,2,0.6470588235294118,0.492592183071889
275,EEG_Q39S69N100,10,2,LOO,SVC,3,0.0,0.0
276,EEG_Q39S69N100,10,2,80:20,RFC,2,0.6333333333333333,0.29186501192363773
277,EEG_Q39S69N100,10,2,80:20,RFC,3,0.3333333333333333,0.15713484026367722
278,EEG_Q39S69N100,10,2,80:20,LOG,2,0.6333333333333333,0.24595492912420727
279,EEG_Q39S69N100,10,2,80:20,LOG,3,0.16666666666666666,0.17568209223157663
280,EEG_Q39S69N100,10,2,80:20,SVC,2,0.6333333333333333,0.24595492912420727
281,EEG_Q39S69N100,10,2,80:20,SVC,3,0.16666666666666666,0.17568209223157663
282,EEG_Q39S69N100,10,2,70:30,RFC,2,0.56,0.12649110640673517
283,EEG_Q39S69N100,10,2,70:30,RFC,3,0.32,0.19321835661585918
284,EEG_Q39S69N100,10,2,70:30,LOG,2,0.62,0.19888578520235065
285,EEG_Q39S69N100,10,2,70:30,LOG,3,0.26,0.23190036174568116
286,EEG_Q39S69N100,10,2,70:30,SVC,2,0.62,0.2573367875415838
